"Dining Menu (26th June-02th July, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
N,Pulses( Protein& Fibre),GREEN MOONG DAL (V),KADHI  PAKODA(D),DAL PANCHMEL(V),RAJMA (V),DAL MAKHANI (D),ARHAR DAL TADKA (V),BOONDI RAITA (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,STEAM RICE,PLAIN RICE,STEAM RICE,STEAM RICE,MASALA RICE (N),PLAIN RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,,AJWANI POORI
"",Accompaniments,"ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),,,,,,CHOCOLATE MOUSSE (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),VEG PUFF (D),SWIZZ ROLL (D),ALOO TIKKI,BANANA CAKE (D),MAGGIE,SMILEY,SPINACH & CORN SANDWICH (D)
A,"Beverage( Carbs,Vitamins & Minerals)",MANGO SHAKE (D),"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)",COLD COFFEE (D),MANGO TANG,BANANA SHAKE (D)
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,4,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD , ALOO  CHANA CHAT","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD,THREE BEAN SALAD","GREEN SALAD,PASTA SALAD (D)","GREEN SALAD,ALOO PEANUT CHAT (N)","GREEN SALAD,SIRKA ONION","THAI CUCUMBER & CARROT SALAD (N),TANG"
D,Dry Dish( Protein & Carbs),HOME STYLE MACRONI (V),MAC & CHEESE (D),PENNE PASTA IN MIX SAUCE (D),KURKURI BHINDI (V),ACHARI BAIGAN (V),BUTTER CHICKEN(NV/D),HONEY CHILLI POTATO (N)
I,Gravy Dish( Protein & Carbs),KARELA DO PYAZA  (V),TOORAI MASALA (V),ALOO MATAR TAMATAR (V),KASHMIRI DUM ALOO (D),LAUKI KOFTA CURRY (D),PANEER DO PYAZA (D),VEG MANCHURIAN (V)
N,Pulse/Noodles ( Protein),RED MALKA  DAL (V),DHABA DAL (V),DAL BHUKARA (V),YELLOW MOONG DAL TADKA (V),CHANA DAL TADKA(V),DAL PANCHMEL(V),SINGAPORIAN GARLIC NOODLES
N,Curd/Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,STEAM RICE,JEERA RICE,VEG PULAO,PLAIN RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,
"",Dessert( Carbs& Sugar),VANILLA  ICE CREAM (D),FRUIT CUSTARD (D),TRUFFLE PUDDING (D),SEWAI PAYSAM (D),GULAB JAMUN (D),,CHOCOLATE ICE CREAM (D)
