"Dining Menu (06th March-12th March, 2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD ,MEXICAN SALAD","GREEN SALAD,CHANA CHAT","GREEN SALAD,SPROUT SALAD","GREEN SALAD,THREE BEAN SALAD","GREEN SALAD,ALOO PEANUT CHAT (N)","GREEN SALAD, SIRKA ONION","RAW PAPAYA SALAD(N),TOM YUM SOUP"
D,Dry Dish( Protein & Carbs),BAKED VEGETABLES IN WHITE SAUCE (D),SOYA CHAP MASALA (N&D),CABBAGE MATAR (V),MAC & CHEESE (D),HOME STYLE MIX PASTA (V),KADHAI CHICKEN (NV/D),SOYA CHILLI
I,Gravy Dish( Protein & Carbs),SOYA ALOO MATAR,ALOO VADI,MASALA JEERA ALOO,LAUKI KOFTA CURRY  (V),GOBHI MASALA  (V),PANEER BUTTER MASALA (D),"STIR FRIED VEGETABLES IN HOT GARLICSAUCE"
N,Pulse/Noodles ( Protein),DAL TADKA (V),DHABA DAL (V),DAL MAKHANI (D),DAL PANCHMEL (V),RED MALKA DAL (V),RAJASTHANI DAL (V),VEGETABLE HAKKA NOODLES
N,Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,JEERA RICE,ONION RICE,JEERA RICE,PLAIN RICE,SCHEZWAN FRIED RICE
E,"Bread ( Carbs,Fat, Protien)","TAWA ROTI,GARLIC BREAD",TAWA ROTI,TAWA ROTI,"TAWA ROTI,GARLIC BREAD","TAWA ROTI,GARLIC BREAD",TAWA ROTI,
R,Accompaniments,"ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY",
"",Dessert( Carbs& Sugar),KALA JAMUN (D),SOOJI HALWA (D),,FRUIT CUSTARD (D),TRUFFLE PUDDING (D),,VANILLA ICE CREAM (D)
"",,,,,,,,
