"Dining Menu (02nd January-08th January,2022)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
"",Dry Dish (Protein & Carbs),CHICKEN BIRYANI (NV/D),CABBAGE MATAR (V),CHICKEN CURRY (NV/D),PENNE NEPOLITANA (D),"EXOTIC VEGETABLE IN TOMATO BASILSAUCE (D)",PENNE IN ALFRDO SAUCE (D),CHOLEY MASALA
U,Gravy Dish(Protein & Carbs),VEGTABLE PANEER BIRYANI (D),MASALA JEERA ALOO,PANEER LABABDAR (D),GOBHI MASALA(V),MALAI KOFTA (D),BAIGAN BHARTA (V),JERRA ALOO
N,Pulses( Protein& Fibre),ARHAR DAL TADKA,KALE CHANE,BLACK MALKA DAL (V),BATHUA KADHI (D),DAL MAKHANI (D),RAJMA,MASALA CHACH (D)
C,Rice / Curd ( Carbs/Calcium),MIX RAITA (D),JEERA RICE,PLAIN RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,PEAS PULAO
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,BATURE
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,MOONG DAL HALWA (D),,,MALPUA (D),KULFI (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),CHOCOLATE PASTRY (D),STUFFED KULCHA (D),JHAL MURI (N),VEG PIZZA (D),FRUIT MUFFIN (D),BREAD PAKODA,SMILEY
A,"Beverage( Carbs,Vitamins & Minerals)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD , SWEET CORN SOUP","GREEN SALAD, MULLIGATWANY SOUP","GREEN SALAD,MEXICAN SALAD","GREEN SALAD,VEGETABLE MANCHOW","GREEN SALAD,CREAM OF PUMPKIN (D)","GREEN SALAD, SIRKA ONION","RAW PAPAYA SALAD(N),TOM YUM SOUP"
D,Dry Dish( Protein & Carbs),BAKED VEGETABLES IN WHITE SAUCE (D),MAC & CHEESE (D),FUISSILI PASTA IN PINK SAUCE (D),MIX VEG (V),HOME STYLE MIX PASTA (V),CHICKEN SAAG WALA (NV/D),SOYA CHILLI
I,Gravy Dish( Protein & Carbs),SARSON KA SAAG  (V),SOYA ALOO MATAR,PALAK CHANA (V),LAUKI URAD VADI MASALA (D),METHI ALOO (V),MATAR PANEER (D),VEGETABLE HAKKA NOODLES
N,Pulse/Noodles ( Protein),DAL TADKA (V),DHABA DAL (V),YELLOW MOONG DAL (V),DAL BUKHARA,RED MALKA DAL (V),RAJASTHANI DAL (V),HONEY CHILLI POTATO (N)
N,Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,PLAIN RICE,ONION RICE,JEERA RICE,PLAIN RICE,SCHEZWAN FRIED RICE
E,"Bread ( Carbs,Fat, Protien)","TAWA ROTI,GARLIC BREAD",TAWA ROTI,TAWA ROTI,"TAWA ROTI,GARLIC BREAD","TAWA ROTI,GARLIC BREAD",TAWA ROTI,
R,Accompaniments,"ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY",
"",Dessert( Carbs& Sugar),KALA JAMUN (D),,FRUIT CUSTRAD (D),BOONDI LADOO (D),,,ASST PASTRY (D)
"",,,,,,,,
