"Dining Menu (03rd July -09th July, 2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
"",Accompaniments,"ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),,FUDGE CAKE (D),,,,GULAB JAMUN (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),VADA PAO (D),BROWNIE (D),SMILEY,MIX PAKODA,VEG PUFF (D),MAGGIE,CHEESE TOAST (D)
A,"Beverage( Carbs,Vitamins & Minerals)",BANANA SHAKE (D),"TEA (D), COFFEE (D)",MANGO SHAKE (D),"TEA (D), COFFEE (D)",ICE TEA,"TEA (D), COFFEE (D)",COLD COFFEE (D)
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD, PASTA SALAD (D)","GREEN SALAD,SPROUT SALAD","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD,ALOO PEANUT CHAT (N)","GREEN SALAD, TOSSED SALAD","GREEN SALAD,SIRKA ONION","THAI CUCUMBER & CARROT SALAD,MANGO TANG"
D,Dry Dish( Protein & Carbs),KERELA DO PYAZA  (D),PENNE PASTA ALFREDO (D),MAC & CHEESE (D),KATHAL MASALA (V),BHINDI MASALA (V),CHICKEN CURRRY (NV/N/D),SOYA CHILLI
I,Gravy Dish( Protein & Carbs),SOYA  MATAR  (V),ACHARI BAIGAN (V),ALOO MATAR (V),ARHAR DAL TADKA (V),LAUKI URAD VADI (V),KADHAI PANEER (D),ROSEMARY POTATO
N,Pulse/Noodles ( Protein),YELLOW MOONG DAL TADKA (V),DAL BUKHARA (V),RED MALKA  DAL (V),MALAI KOFTA CURRY (D),DAL BALTIC (V),DHABA DAL (V),SINGAPORIAN GARLIC NOODLES
N,Rice( Carbs & Protein),JEERA RICE,ONION RICE,STEAM RICE,JEERA RICE,JEERA RICE,PLAIN RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,
"",Dessert( Carbs& Sugar),ICE CREAM (D),,SEWAI PAYSAM (D),SHAHI TUKDA (D),TRUFFLE PUDDING (D),,STRAWBERRY ICE CREAM(D)
