"Dining Menu (03rd October-09th October, 2022)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
L,Dry Dish (Protein & Carbs),CHICKEN KOLHAPURI (N&P&D),FUSILLI PASTA IN PINK SAUCE (D),BUTTER CHICKEN (N&P),"BAKED VEGETABLES IN WHITESAUCE (D)",PENNE ARRABIATA (D),HOME STYLE MACRONI (V),PINDI CHOLEY
U,Gravy Dish(Protein & Carbs),KADHAI PANEER (D),"ALOO TAMATAR (NO ONION NOGARLIC)",MATAR PANEER (D),RAJMA MASALA (V),MALAI KOFTA CURRY (D),MIX VEG,KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),RED MALKA DAL,"KALE CHANE (NO ONION NOGARLIC)",GREEN MOONG DAL,PALAK CORN (V),DAL MAKHANI (D),SINDHI KADHI (D),BOONDI RAITA (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,PLAIN RICE,STEAMED RICE,JEERA RICE,ONION RICE,PLAIN RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,POORI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI
"",Accompaniments,"ACHAR, PAPAD","ACHAR ,PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),,SOOJI HALWA,,SEWAI PAYSAM (D),,COCONUT BURFI (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),BROWNIE (D),SMILEY,FRIES (V),VANILLA CUP CAKE (D),GOL GAPPE,FRUIT CAKE,COLESLAW SADWICH (D)
A,"Beverage( Carbs,Vitamins &Minerals)",COLD COFFEE (D),"TEA (D), COFFEE (D)",TANG,TEA (D)  COFFEE (D),KHATTA MEETA PANI,"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
"7.30PM-10.15PM",,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD , GERMANMUSTARD POTATO SALAD (D)","GREEN SALAD, HAWAIIAN SALAD(D)","GREEN SALAD,MEDITERRANEANSALAD","GREEN SALAD,THREE BEANSALAD","GREEN SALAD,AMERICAN CORNSALAD","GREEN SALAD, SIRKA ONION",KIMCHI SALAD
D,Dry Dish( Protein & Carbs),MAC & CHEESE (D),VEG KOFTA CURRY (P&D),DUM ALOO KASHMIRI (D),BHINDI DO PYAZA (V),ALOO CAPSICUM (V),CHICKEN CHETINNAD (N&P&D),"STIR FRIED VEGETABLE IN BLACKBEAN SAUCE (V)"
I,Gravy Dish( Protein & Carbs),LAUKI URAD VADI MASALA (V),ALOO BAIGAN (V),KARELA MASALA (V),VEG. KORMA (D),TOORAI MASALA (V),PANEER NILGIRI(D),VEG MANCHURIAN (V)
N,Pulse/Noodles ( Protein),ARHAR DAL TADKA,DAL PANCHMEL,DAL BHUKARA (D),DHABA DAL,CHANA DAL TADKA,RAJASTHANI DAL,VEG HAKKA NOODLES
N,Curd/Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,PEAS PULAO,PLAIN RICE,VEG PULAO,PLAIN RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,
"",Dessert( Carbs& Sugar),GULAB GULKAND KI KHEER (D),,JALEBI (D),,FRUIT CUSTARD (D),,CHOCOLATE ICE CREAM (D)
