"Dining Menu (07th November-13th November, 2022)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
U,Gravy Dish(Protein & Carbs),PANEER KORMA (D),CABBAGE MATAR (V),PANEER BUTTER MASALA (D),ALOO HARA PYAZ (V),SOYA CHAP ACHARI MASALA (D&P),BAIGAN BHARTA (V),KHATTA MEETA PETHA
N,Pulses( Protein& Fibre),BLACK MALKA DAL (V),RAJMA MASALA (V),GREEN MOONG DAL (V),RAJASTHANI KADHI (D),KALE CHANE,DAL MAKHANI (D),MASALA CHACH (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,PLAIN RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,PEAS PULAO
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,LUCCHI
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,MOONG DAL HALWA (D),,COCONUT LADOO (D),,VANILLA ICE CREAM (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),MARBLE CAKE,STUFFED KULCHA (D),SWIZZ ROLL (D),APPLE PIE (D),VEG  BURGER (D),MAGGIE,VEG NUGGETS (V)
A,"Beverage( Carbs,Vitamins & Minerals)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD , TOMATO SOUP (V)","GREEN SALAD, AMERICAN CORNSALAD","GREEN SALAD, ALOO PEANUTCHAT (N)","GREEN SALAD,VEGETABLE SOUP","GREEN SALAD,THREE BEAN SALAD","GREEN SALAD, SIRKA ONION","RAW PAPAYA SALAD(N),TOM YUMSOUP"
D,Dry Dish( Protein & Carbs),"BAKED VEGETABLES IN WHITESAUCE (D)",BHINDI MASALA (V),FUISSILI PASTA IN PINK SAUCE (D),SPINACH CORN LASAGNE (D),HOME STYLE MIX PASTA (V),CHICKEN CURRY (NV/D),MIX VEG IN GARLIC SOYA SAUCE
I,Gravy Dish( Protein & Carbs),PALAK CORN (V),ALOO MATAR TAMATAR (D),SARSON KA SAAG  (V),MIX VEG (V),KASOORI METHI ALOO (V),KADHAI PANEER (D),VEGETABLE HAKKA NOODLES
N,Pulse/Noodles ( Protein),DHABA DAL (V),DAL TADKA (V),CHANA DAL (V),DAL BUKHARA,RED MALKA DAL (V),RAJASTHANI DAL (V),VEGETABLE MANCHURIAN
N,Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,PLAIN RICE,ONION RICE,JEERA RICE,PLAIN RICE,SCHEZWAN FRIED RICE
E,"Bread ( Carbs,Fat, Protien)","TAWA ROTI,GARLIC BREAD",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,"ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY",
"",Dessert( Carbs& Sugar),SHEER KHURMA (D),,MALPUA (D),,BALUSHAHI (D),,ASST PASTRY (D)
"",,,,,,,,
