"Dining Menu (06th February-12th February, 2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
"",Dry Dish (Protein & Carbs),BUTTER CHICKEN (NV/D),GAJAR MATAR (V),CHICKEN CHETTINAD  (NV/D),PENNE NEPOLITANA (D),HOME STYLE MIX PASTA (V),PENNE IN ALFRDO SAUCE (D),CHOLEY MASALA
U,Gravy Dish(Protein & Carbs),MATAR PANEER (D),MASALA JEERA ALOO,PANEER BUTTER MASALA (D),METHI ALOO (V),MALAI KOFTA (D),VEG KORMA (P),KHATTA MEETA PETHA
N,Pulses( Protein& Fibre),YELLOW MOONG DAL TADKA (V),KALE CHANE (V),BLACK MASOOR DAL (V),BATHUA KADHI (D),DAL MAKHANI (D),RAJMA,MASALA CHACH (D)
C,Rice / Curd ( Carbs/Calcium),STEAM RICE,JEERA RICE,PLAIN RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,PEAS PULAO
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY",ACHAR,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,SHAHI TUKHA (D),,,,SEWAI PAYSAM (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),ASST PASTRY (D),VEG PIZZA (D),SMILEY,MIX PAKODA,CHOCOLATE CUP CAKE (D),STUFFED KULCHA (D),NUGGETS
A,"Beverage( Carbs,Vitamins & Minerals)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD ,DAL SHORBA","GREEN SALAD, MUSHROOM SOUP (D)","GREEN SALAD,RASAM","GREEN SALAD,PASTA SALAD (D)","GREEN SALAD,SPROUT SALAD","GREEN SALAD, SIRKA ONION","GREEN SALAD,ALOO CHANA CHAT (P)"
D,Dry Dish( Protein & Carbs),BAKED VEGETABLES IN WHITE SAUCE (D),MAC & CHEESE (D),VEGETABLE LASAGNE (D),MIX VEG (V),"EXOTIC VEGETABLES IN TOMATO BASILSAUCE (D)",CHICKEN SAAG WALA (NV/D),BESAN GATTA CURRY (D)
I,Gravy Dish( Protein & Carbs),SARSON KA SAAG  (V),SOYA KEEMA MATAR,ALOO BEANS (V),LAUKI URAD VADI MASALA (D),CHATPATE ALOO (D),PANEER BUTTER MASALA (D),VEG JALFRAZI (V)
N,Pulse/Noodles ( Protein),DAL TADKA (V),DHABA DAL (V),RED MALKA DAL (V),DAL BUKHARA (D),DAL BALTIC (V),RAJASTHANI DAL (V),DAL PANCHMEL (V)
N,Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,JEERA RICE,ONION RICE,JEERA RICE,PLAIN RICE,KHADA MASALA PULAO
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI
R,Accompaniments,"ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY"
"",Dessert( Carbs& Sugar),KALA JAMUN (D),,TRUFFLE PUDDING (D),BOONDI LADOO (D),ICE CREAM (D),,KESARI HALWA (D)
"",,,,,,,,
