"Dining Menu (20th March-26th March, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
L,Dry Dish (Protein & Carbs),KADHAI CHICKEN  (NV/D),HING DHANIYE KE CHATPATE ALOO (V),CHICKEN BIRYANI (NV/D),SAUTE VEG (V),HOMESTYLE MIX PASTA (V),FUISSILI PASTA IN ARRABIATA SAUCE (D),CHOLEY
U,Gravy Dish(Protein & Carbs),HOME STYLE MATAR PANEER (D),KALE CHANE (V),VEGTABLE PANEER BIRYANI (D),RAJMA MASALA (V),ALOO BEANS (V),SUBJ KOLHAPURI (V),KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),GREEN MOONG DAL,PLAIN CHACH (D),HYDERABADI DAL (V),CURD (D),SOYA CHAAP MASALA(D),DAL MAKHANI (D),BOONDI RAITA (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,MIX RAITA (D),JEERA RICE,STEAMED RICE,STEAMED RICE,PLAIN RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,,,,KALA JAMUN (D),SHAHI TUKDA (D),
"4.45PM-6.15PM",,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),VEG PUFF (D),MIX PAKODA,FRUIT CAKE (D),VEG PIZZA (D),STUFFED KULCHA (D),STAWBERRY SWIZZ ROLL (D),SPINACH & CORN SANDWICH (D)
A,"Beverage( Carbs,Vitamins & Minerals)",NIMBU PANI,"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)",TEA (D)  COFFEE (D),BANANA SHAKE (D),TANG,"TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
"7.30PM-10.15PM",,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD ,CHANA CHAT","GREEN SALAD,PASTA SALAD (D)","GREEN SALAD,THREE BEAN SALAD","GREEN SALAD,ALOO PEANUT CHAT (N)","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD,MASALA LACCHA ONION","THAI CUCUMBER & CARROT SALAD,KIMCHI SALAD"
D,Dry Dish( Protein & Carbs),HOME STYLE MACRONI (V),LAUKI URAD VADI (V),VEGETABLE LASAGNE (D),PENNE PASTA IN MIX SAUCE (D),EXOTIC VEGETABLE IN TOMATO BASIL SAUCE (D),BUTTER CHICKEN(NV/D),VEG DUMPLING IN SWEET AND SOUR SAUCE (V)
I,Gravy Dish( Protein & Carbs),MIX VEG (V),SOYA KEEMA MATAR (V),ALOO MATAR  (V),VEG JALFREZI (V),ALOO PALAK (V),KADHAI PANEER (D),CANTONESE STYLE VEG IN BLACK BEAN SAUCE (V)
N,Pulse/Noodles ( Protein),RED MALKA DAL,YELLOW MOONG DAL TADKA,DAL BHUKARA,DHABA DAL,CHANA DAL TADKA,DAL PANCHMEL,SINGAPORIAN GARLIC NOODLES
N,Curd/Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,PEAS PULAO,JEERA RICE,VEG PULAO,PLAIN RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,"ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY",
"",Dessert( Carbs& Sugar),VANILLA ICE CREAM (D),SOOJI HALWA (D),SEWAI PAYSAM (D),FRUIT CUSTARD (D),,,CHOCOLATE ICE CREAM (D)
