"Dining Menu (26th December-01st January, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
L,Dry Dish (Protein & Carbs),CHICKEN MAKHANI (NV/D),PENNE ARRABIATA (D),CHICKEN BIRYANI (NV/D),MASALA JEERA ALOO (V),HOME STYLE MACRONI (V),FUISSILI PASTA IN PINK SAUCE (D),PINDI CHOLEY
U,Gravy Dish(Protein & Carbs),PANNER DO PYAZA (D),MALAI KOFTA CURRY (D),VEGTABLE PANEER BIRYANI (D),RAJMA MASALA (V),GAJAR MATAR (V),MIX VEG (V),KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),GREEN MOONG DAL,BLACK MALKA DAL,ARHAR DAL TADKA,CURD (D),KADHI PAKORA(D),DAL MAKHANI (D),BOONDI RAITA (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,MIX RAITA (D),JEERA RICE,STEAMED RICE,STEAMED RICE,PLAIN RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,BHATURA
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,COCONUT BURFI (D),,,,RICE KHEER (D),KESARI HALWA (D)
"4.45PM-6.15PM",,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),BROWNIE (D),KACHORI,MARBLE CAKE (D),VEG BURGER (D),APPLE PIE (D),SPINACH & CORN SANDWICH (D),GOL GAPPE
A,"Beverage( Carbs,Vitamins & Minerals)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)",TEA (D)  COFFEE (D),"TEA (D), COFFEE (D)",KHATTA MEETA PANI
C,,,,,,,,
K,,,,,,,,
"7.30PM-10.15PM",,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD , MUSHROOM SOUP (D)","GREEN SALAD,VEGETABLE BROTH","GREEN SALAD,SWEET CORN SOUP","GREEN SALAD,TOMATO SHORBA","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD,MASALA LACCHA ONION","THAI CUCUMBER & CARROT SALAD,TOM YUM SOUP"
D,Dry Dish( Protein & Carbs),MAC & CHEESE (D),SOYA KEEMA MATAR,VEGETABLE LASAGNE (D),SARSON KA SAAG (V),"EXOTIC VEGETABLE IN TOMATO BASILSAUCE (D)",BUTTER CHICKEN(NV/D),VEGETABLE MANCHURIAN (V)
I,Gravy Dish( Protein & Carbs),VEG JALFREZI (V),BAIGAN BHARTA (V),CABBAGE MATAR (V),GOBHI ALOO (V),ALOO BEANS (V),KADHAI PANEER (D),CANTONESE STYLE VEG IN BLACK BEAN SAUCE (V)
N,Pulse/Noodles ( Protein),RED MALKA DAL,DAL PANCHMEL,DAL BHUKARA,DHABA DAL,CHANA DAL TADKA,YELLOW MOONG DAL TADKA,SINGAPORIAN NOODLES
N,Curd/Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,PEAS PULAO,JEERA RICE,VEG PULAO,PLAIN RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,"ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY",
"",Dessert( Carbs& Sugar),CHOCOLATE ICE CREAM (D),,SEWAI PAYSAM (D),GULAB JAMUN (D),STRAWBERRY ICE CREAM (D),,
