"Dining Menu (13th February -19th February, 2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
L,Dry Dish (Protein & Carbs),CHICKEN DO PYAZA (NV/N/D),HOMESTYLE MACRONI (D),CHICKEN BIRYANI (NV/D),FUISSILI PASTA IN POMODORO SAUCE (D),HOMESTYLE MIX PASTA (D),VEGETABLE FLORENTINE (V),PINDI CHOLEY (V)
U,Gravy Dish(Protein & Carbs),PALAK PANEER (D),MASALA ALOO (V),VEGTABLE PANEER BIRYANI (D),DAL MAKHANI (D),PALAK CHANA (V),ARHAR DAL TADKA (V),HARE KADDU KI SABZI (V)
N,Pulses( Protein& Fibre),BLACK MASOOR DAL (V),RAJMA (V),HYDERABADI DAL (V),MALAI KOFTA CURRY (D),KADHI PAKODA (D),SOYA CHAAP MASALA (D),CURD (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,MIX RAITA (D),JEERA RICE,JEERA RICE,RAMPUR KI TEHRI,ONION RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,,,,KALA JAMUN (D),FRUIT CUSTARD (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),BHEL PURI (N),MARBLE CAKE (D),RAM LADOO,CHILLI GARLIC POPCORN,COLESLAW SANDWICH (D),KOTHMIRI KEBAB,BANANA CAKE
A,"Beverage( Carbs,Vitamins & Minerals)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD, LEMON CORIANDER SOUP","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD, VEGETABLE BROTH","GREEN SALAD,DAL SHORBA","GREEN SALAD, TOMATO SOUP","GREEN SALAD, SIRKA ONION","THAI CUCUMBER AND CARROT SALAD,HOT& SOUR SOUP"
D,Dry Dish( Protein & Carbs),MIX VEGETABLE (V),SOYA CHILLI,PENNE PASTA IN ARRABIATA SAUCE (D),VEGETABLE MOUSSAKA (V),VEGETABLE CORN LASAGNE (D),CHICKEN CURRRY (NV/N/D),SAUTE POTATO
I,Gravy Dish( Protein & Carbs),LAUKI KOFTA CURRY  (V),SEV TAMATAR KI SABJI (V),VEG KORMA (V),SOYA KEEMA MATAR (V),ALOO HARA PYAZ (V),PANEER METHI MALAI (D),"STIR FRIED VEGETABLES IN HOT GARLICSAUCE"
N,Pulse/Noodles ( Protein),YELLOW MOONG DAL TADKA (V),DAL PANCHMEL(V),RED MALKA  DAL (V),GREEN MOONG DAL,DAL BUKHARA,DHABA DAL (V),GARLIC CHILLI  NOODLES
N,Rice( Carbs & Protein),VEGETABLE PULAO,ONION RICE,JEERA RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,SCHEZWAN  FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,"ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY",
"",Dessert( Carbs& Sugar),VANILLA ICE CREAM (D),RICE KHEER (D),SEWAI PAYSAM (D),KESARI HALWA (D),,,STRAWBERRY ICE CREAM (D)
