"Dining Menu (17th April -23rd April, 2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
L,Dry Dish (Protein & Carbs),BUTTER CHICKEN (NV/N/D),HOMESTYLE MACRONI (D),CHICKEN BIRYANI (NV/D),HOMESTYLE MIX PASTA (D),FUISSILI PASTA IN POMODORO SAUCE (D),VEGETABLE FLORENTINE (V),PINDI CHOLEY (V)
U,Gravy Dish(Protein & Carbs),PALAK PANEER (D),MASALA ALOO (V),VEGTABLE PANEER BIRYANI (D),DAL MAKHANI (D),ALOO BEANS  (V),ARHAR DAL TADKA (V),HARE KADDU KI SABZI (V)
N,Pulses( Protein& Fibre),BLACK MASOOR DAL (V),RAJMA (V),HYDERABADI DAL (V),MALAI KOFTA CURRY (D),KADHI PAKODA (D),KASHMIRI DUM ALOO (D),CURD (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,MIX RAITA (D),JEERA RICE,JEERA RICE,PEAS PULAO,RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,,,,,FRUIT CUSTARD (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),MASALA CORN (N),VADA PAO,MIX PAKODA,KOTHMIRI KEBAB,STUFFED KULCHA (D),COLESLAW SANDWICH (D),FRUIT CAKE
A,"Beverage( Carbs,Vitamins & Minerals)",TANG,BANANA SHAKE (D),"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)",NIMBU PANI,"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD,HAWAIIAN SALAD (D)","GREEN SALAD,CHANA CHAT","GREEN SALAD,MEDITERRANEAN SALAD","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD ,ALOO PEANUT CHAT (N)","GREEN SALAD,MASALA LACCHA ONION","THAI CUCUMBER AND CARROT SALAD,MANGO TANG"
D,Dry Dish( Protein & Carbs),SOYA ALOO MATAR (V),ACHARI BAIGAN (V),PENNE PASTA IN ARRABIATA SAUCE (D),SAUTE VEG (V),VEGETABLE CORN LASAGNE (D),CHICKEN CURRRY (NV/N/D),VEGETABLE MANCHURIAN
I,Gravy Dish( Protein & Carbs),LAUKI CHANA MASALA  (V),VEG KOFTA CURRY (V),VEG KORMA (V),SOYA KEEMA MATAR (V),ALOO PALAK (V),KADHAI PANEER (D),STIR FRIED VEGETABLES IN HOT GARLIC SAUCE
N,Pulse/Noodles ( Protein),YELLOW MOONG DAL TADKA (V),DAL PANCHMEL(V),RED MALKA  DAL (V),GREEN MOONG DAL,DAL BUKHARA,DHABA DAL (V),GARLIC CHILLI  NOODLES
N,Rice( Carbs & Protein),VEGETABLE PULAO,ONION RICE,JEERA RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,SCHEZWAN  FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,"ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY",
"",Dessert( Carbs& Sugar),VANILLA ICE CREAM (D),KALA JAMUN (D),KESARI HALWA (D),SEWAI PAYSAM (D),SAHI TUKDA (D),,STRAWBERRY ICE CREAM (D)
