"Dining Menu (12th December -18th December, 2022)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,TRUFFLE PUDDING (D),,,,FRUIT CUSTARD (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),BANANA CAKE (D),SABUDANA TIKKI (V),MAGGIE,SAMOSA,APPLE PIE (D),NUGGETS,MUFFINS (D)
A,"Beverage( Carbs,Vitamins &Minerals)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD, ALOO PEANUT CHAT(N)","GREEN SALAD,CREAM OF TOMATO SOUP (D)","GREEN SALAD,SWEET CORN SOUP","GREEN SALAD,MEXICAN SALAD","GREEN SALAD, SPROUT SALAD","GREEN SALAD, SIRKA ONION","KIMCHI SALAD,RAW PAPAYA SALAD(N)"
D,Dry Dish( Protein & Carbs),VEG AUGRATIN (D),SAUTE VEG (V),MAC & CHEESE (D),SARSON KA SAAG (V),PALAK CORN (V),HANDI CHICKEN (NV/D),"STIR FRIED VEGETABLES IN SESAMESAUCE (V)"
I,Gravy Dish( Protein & Carbs),BHINDI DO PYAZA (V),SPINACH CORN LASAGNE (D),ALOO GOBHI MATAR (V),GAJAR ALOO MATAR,DUM ALOO KASHMIRI (D),PANEEER ROGAN JOSH (D),"VEG DUMPLING IN SOYA GARLICSAUCE"
N,Pulse/Noodles ( Protein),CHANA DAL TADKA (V),DAL MAKHANI (D),RED MALKA DAL (V),DAL BUKHARA (V),BLACK MASOOR DAL (V),DHABA DAL (V),SINGPORE CHILLI NOODLES
N,Rice( Carbs & Protein),VEG PULAO,JEERA RICE,ONION RICE,STEAM RICE,JEERA RICE,PLAIN RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,"TAWA ROTI,GARLIC BREAD","TAWA ROTI,GARLIC BREAD",TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,"ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY",
"",Dessert( Carbs& Sugar),VANILLA ICE CREAM (D),,LEMON SOUFFLE (D),KALA JAMUN (D),CHOCOLATE MOUSSE (D),,STRAWBERRY ICE CREAM (D)
