"Dining Menu (01st May-07th May, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
L,Dry Dish (Protein & Carbs),CHICKEN KALI MIRCH (NV/D),HING DHANIYE KE CHATPATE ALOO (V),CHICKEN BIRYANI (NV/D),ALOO CAPSICUM (V),FUISSILI PASTA IN ARRABIATA SAUCE (D),HOMESTYLE MIX PASTA (V),CHOLEY
U,Gravy Dish(Protein & Carbs),HOME STYLE MATAR PANEER (D),KALE CHANE (V),VEGTABLE PANEER BIRYANI (D),RAJMA MASALA (V),MUSHROOM MATTER MASALA (D),ARHAR DAL TADKA (V),KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),GREEN MOONG DAL(V),PLAIN LASSI (D),HYDERABADI DAL (V),CURD (D),CHANA DAL MASALA (V),MALAI KOFTA (D),BOONDI RAITA (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,MIX RAITA (D),JEERA RICE,STEAMED RICE,STEAMED RICE,PLAIN RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,,,,SHAHI TUKDA (D),KALA JAMUN (D),
"4.45PM-6.15PM",,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),NUGGETS,SAMOSA,CORN MASALA,KHASTA KACHORI BHAJI,FRENCH FRIES,STUFFED KULCHA (D),SPINACH & CORN SANDWICH (D)
A,"Beverage( Carbs,Vitamins & Minerals)",BANANA SHAKE,"TEA (D), COFFEE (D)",NIMBU PANI,TEA (D)  COFFEE (D),MANGO SHAKE (D),TANG,COLD COFFEE (D)
C,,,,,,,,
K,,,,,,,,
"7.30PM-10.15PM",,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD ,CHANA CHAT","GREEN SALAD,SPROUT SALAD (D)","GREEN SALAD,THREE BEAN SALAD","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD,ALOO PEANUT CHAT (N)","GREEN SALAD,MASALA LACCHA ONION","THAI CUCUMBER & CARROT SALAD,KIMCHI SALAD"
D,Dry Dish( Protein & Carbs),LAUKI MASALA (V),HOME STYLE MACRONI (V),DIWANI HANDI (D),PENNE PASTA IN MIX SAUCE (D),VEG KOFTA IN PALAK GRAVY (V),CHICKEN CHETTINAD (NV/D),SOYA CHILLY (V)
I,Gravy Dish( Protein & Carbs),SOYA KEEMA MATAR (V),MIX VEG (V),KASHMIRI DUM ALOO  (D),MASALA BAIGAN (V),VEG JALFREZI (V),PANEER MAKHANI (D),CANTONESE STYLE VEG IN BLACK BEAN SAUCE (V)
N,Pulse/Noodles ( Protein),RED MALKA DAL(V),YELLOW MOONG DAL TADKA(V),DAL BHUKARA (V),DHABA DAL (V),DAL MAKHANI (D),DAL PANCHMEL(V),SINGAPORIAN GARLIC NOODLES
N,Curd/Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,PEAS PULAO,TOMATO RICE,VEG PULAO,PLAIN RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,"ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY",
"",Dessert( Carbs& Sugar),GULAB GULKAND KI KHEER (D),BUTTER SCOTCH ICE CREAM (D),DEATH BY CHOCOLATE (D),FRUIT CUSTARD (D),,,ICE CREAM (D)
