"Dining Menu (24th April-30th April, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
L,Dry Dish (Protein & Carbs),RARA CHICKEN  (NV/D),KULCHA,CHICKEN BIRYANI (NV/D),PAO BHAJI,HOMESTYLE MIX PASTA (V),FUISSILI PASTA IN ARRABIATA SAUCE (D),CHOLEY
U,Gravy Dish(Protein & Carbs),HOME STYLE MATAR PANEER (D),MATAR (V),VEGTABLE PANEER BIRYANI (D),MASALA CHACH (D),ALOO PALAK (V),SUBJ KOLHAPURI (V),KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),GREEN MOONG DAL (V),JEERA ALOO,BLACK MASOOR DAL (V),ARHAR DAL TADKA (V),SINDHI KADHI (D),DAL MAKHANI (D),BOONDI RAITA (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,STEAMED RICE,MIX RAITA (D),MASALA RICE,STEAMED RICE,STEAMED RICE,PLAIN RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,,TAWA ROTI,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,,,,,SHAHI TUKDA (D),
"4.45PM-6.15PM",,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),BHEL PURI (N),MAGGIE,MUSHROOM TOAST (D),DAHI TIKKI (D),SAMOSA,BROWNIE (D),SPINACH & CORN SANDWICH (D)
A,"Beverage( Carbs,Vitamins & Minerals)",BANANA SHAKE (D),TANG,STRAWBERRY SHAKE,KHATTA MEETHA PANI,"TEA (D), COFFEE (D)",COLD COFFEE,"TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
"7.30PM-10.15PM",,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD , ALOO  CHANA CHAT","GREEN SALAD,PASTA SALAD (D)","GREEN SALAD,THREE BEAN SALAD","GREEN SALAD,ALOO PEANUT CHAT (N)","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD,MASALA LACCHA ONION","THAI CUCUMBER & CARROT SALAD,KIMCHI SALAD"
D,Dry Dish( Protein & Carbs),HOME STYLE MACRONI (V),VEGETABLE KORMA (V),PENNE PASTA IN MIX SAUCE (D),MAC & CHEESE (D),VEGETABLE LASAGNE (D),BUTTER CHICKEN(NV/D),VEG DUMPLING IN SWEET AND SOUR SAUCE (V)
I,Gravy Dish( Protein & Carbs),BAIGAN MASALA (V),SOYA KEEMA MATAR (V),ALOO MATAR  (V),VEG JALFREZI (V),ALOO BEANS  (V),KADHAI PANEER (D),CANTONESE STYLE VEG IN BLACK BEAN SAUCE (V)
N,Pulse/Noodles ( Protein),DAL MAHARANI(V),YELLOW MOONG DAL TADKA (V),DAL BHUKARA (V),DHABA DAL (V),CHANA DAL TADKA(V),DAL PANCHMEL(V),SINGAPORIAN GARLIC NOODLES
N,Curd/Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,PEAS PULAO,JEERA RICE,VEG PULAO,PLAIN RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,"ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY",
"",Dessert( Carbs& Sugar),ASSORTED ICE CREAM (D),MANGO MOUSSE (D),KULFI (D),CHOCOLATE TRUFFLE PUDDING (D),KALA JAMUN (D),,CHOCOLATE ICE CREAM (D)
