"Dining Menu (27th February-05th March, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
"",Accompaniments,"ACHAR,JAGERRY","ACHAR,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY",,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,MOONG DAL HALWA (D),,,,GULAB GULKAND KI KHEER (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),CHOCOLATE CUP CAKE (D),BHEL PURI (N),MARBLE CAKE (D),HARA BHARA KEBAB,BANANA CAKE (D),CHEESE TOAST (D),COLESLAW SANDWICH (D)
A,"Beverage( Carbs,Vitamins & Minerals)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)",TEA (D)  COFFEE (D),"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),,"GREEN SALAD,HAWAIIAN SALAD (D)","GREEN SALAD,THREE BEAN SALAD","GREEN SALAD,MEDITERRANEAN SALAD","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD,MASALA LACCHA ONION","GREEN SALAD , PASTA SALAD"
D,Dry Dish( Protein & Carbs),,SOYA ALOO MATAR,VEGETABLE LASAGNE (D),HOMESTYLE MACRONI,"EXOTIC VEGETABLE IN TOMATO BASIL SAUCE(D)",CHICKEN CHETTINAD (NV/D),ALOO MATAR TAMATAR (V)
I,Gravy Dish( Protein & Carbs),,BAIGAN BHARTA (V),GOBHI ALOO (V),PALAK CORN,ALOO BEANS (V),PANEER DO PYAZA (D),TAWA SABJI (V)
N,Pulse/Noodles ( Protein),GRUB FEST,DAL PANCHMEL,DHABA DAL,DAL BHUKARA,CHANA DAL TADKA,YELLOW MOONG DAL TADKA,DAL RAJASTHANI
N,Curd/Rice( Carbs & Protein),,JEERA RICE,PEAS PULAO,JEERA RICE,VEG PULAO,PLAIN RICE,JEERA RICE
E,"Bread ( Carbs,Fat, Protien)",,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI
R,Accompaniments,,"ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR, PAPAD,JAGGERY"
"",Dessert( Carbs& Sugar),,,BALUSAHI (D),COFFEE MOUSSE (D),KALA JAMUN (D),,VANILLA ICE CREAM (D)
