"Dining Menu (13th March -19th March, 2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,,,,KALA JAMUN (D),FRUIT CUSTARD (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),BHEL PURI (N),CHOCOLATE CUP CAKE (D),MASALA CORN,COLESLAW SANDWICH (D),SWIZZ ROLL (D),KOTHMIRI KEBAB,BANANA CAKE
A,"Beverage( Carbs,Vitamins & Minerals)",NIMBU PANI,"TEA (D), COFFEE (D)",TANG,"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)",NIMBU PANI,"TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD, GERMAN MUSTARD POTATOSALAD (D)","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD,ALOO PEANUT CHAT (N)","GREEN SALAD,HAWAIIN SALAD (D)","GREEN SALAD, CHANA CHAT","GREEN SALAD, SIRKA ONION","THAI CUCUMBER AND CARROT SALAD,KOREANKIMCHI SALAD"
D,Dry Dish( Protein & Carbs),MIX VEGETABLE (V),BAIGAN BHARTA (V),PENNE PASTA IN ARRABIATA SAUCE (D),MAC & CHEESE (D),VEGETABLE  LASAGNE (D),CHICKEN CURRRY (NV/N/D),VEGETABLE MANCHURIAN
I,Gravy Dish( Protein & Carbs),LAUKI KOFTA CURRY  (V),SEV TAMATAR KI SABJI (V),KASHMIRI DUM ALOO (D),VEG JALFREZI (V),ALOO GOBHI MASALA (V),MATAR PANEER (D),STIR FRIED VEGETABLES IN HOT GARLIC SAUCE
N,Pulse/Noodles ( Protein),YELLOW MOONG DAL TADKA (V),DAL PANCHMEL(V),RED MALKA  DAL (V),GREEN MOONG DAL,DAL BUKHARA,DHABA DAL (V),GARLIC CHILLI  NOODLES
N,Rice( Carbs & Protein),VEGETABLE PULAO,ONION RICE,JEERA RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,"ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY",
"",Dessert( Carbs& Sugar),VANILLA ICE CREAM (D),RICE KHEER (D),SEWAI PAYSAM (D),KESARI HALWA (D),,,STRAWBERRY ICE CREAM (D)
