"Dining Menu (28th November-04th December, 2022)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
N,Pulses( Protein& Fibre),RED MALKA DAL,RAJMA MASALA (V),ARHAR DAL TADKA,METHI ALOO (V),VEG HAKKA NOODLES,SINDHI KADHI (D),BOONDI RAITA (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,MIX RAITA (D),STEAMED RICE,VEG FRIED RICE,STEAMED RICE,PLAIN RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY",,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,,,KALA JAMUN (D),,COCONUT LADOO (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),BROWNIE (D),KACHORI,CHOCOLATE  CUP CAKE (D),VEG BURGER (D),MARBLE CAKE (D),SMILEY,GOL GAPPE
A,"Beverage( Carbs,Vitamins & Minerals)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)",TEA (D)  COFFEE (D),"TEA (D), COFFEE (D)",KHATTA MEETA PANI
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD , VEGETABLE BROTH","GREEN SALAD,TOMATO SHORBA","GREEN SALAD,SWEET CORN SOUP","GREEN SALAD,MUSHROOM SOUP(D)","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD,MASALA LACCHA ONION","GREEN SALAD,SPROUT SALAD"
D,Dry Dish( Protein & Carbs),MAC & CHEESE (D),SOYA KEEMA MATAR,SPINACH CORN LASAGNE (D),BHINDI DO PYAZA (V),ALOO HARE PYAZ KI SUBZI (V),BUTTER CHICKEN(NV/D),HOME STYLE MACRONI (V)
I,Gravy Dish( Protein & Carbs),LAUKI URAD VADI MASALA (V),ACHARI BAIGAN (V),DUM ALOO KASHMIRI (D),ALOO GOBHI MATAR,SARSON KA SAAG (V),KADHAI PANEER (D),MALAI KOFTA CURRY (D)
N,Pulse/Noodles ( Protein),BLACK MASOOR DAL,DAL PANCHMEL,DAL BHUKARA,DHABA DAL,DAL MAKHANI (D),YELLOW MOONG DAL TADKA,CHANA DAL TADKA
N,Curd/Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,PEAS PULAO,JEERA RICE,VEG PULAO,PLAIN RICE,JEERA RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI
R,Accompaniments,"ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGGERY"
"",Dessert( Carbs& Sugar),CHOCOLATE ICE CREAM (D),SOOJI HALWA (D),RICE KHEER (D),,VANILA ICE CREAM (D),,FRUIT CUSTARD (D)
