"Dining Menu (20th February-26th February, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
L,Dry Dish (Protein & Carbs),KADHAI CHICKEN  (NV/D),ALOO HARA PYAZ (V),CHICKEN CURRY (NV/D),ALOO BEANS (V),VEG DUMPLING IN SWEET AND SOUR SAUCE (V),FUISSILI PASTA IN ARRABIATA SAUCE (D),CHOLEY
U,Gravy Dish(Protein & Carbs),HOME STYLE MATAR PANEER (D),KALE CHANE (V),PANEER LABABDAR (D),RAJMA MASALA (V),CANTONESE STYLE VEG IN BLACK BEAN SAUCE (V),SUBJ KOLHAPURI (V),KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),GREEN MOONG DAL,CURD (D),ARHAR DAL TADKA (V),CURD (D),SINGAPORIAN GARLIC NOODLES,DAL MAKHANI (D),BOONDI RAITA (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,PLAIN RICE,JEERA RICE,VEG FRIED RICE,STEAMED RICE,PLAIN RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY",,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,,,,CHOCOLATE ICE CREAM (D),RICE KHEER (D),
"4.45PM-6.15PM",,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),VEG PUFF (D),STUFFED KULCHA (D),MARBLE CAKE (D),SAMOSA (D),SMILEY,STAWBERRY SWIZZ ROLL (D),SPINACH & CORN SANDWICH (D)
A,"Beverage( Carbs,Vitamins & Minerals)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)",TEA (D)  COFFEE (D),"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
"7.30PM-10.15PM",,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD ,ITALAIN PASTA SALAD (D)","GREEN SALAD,LEMON CORRIANDER SOUP","GREEN SALAD,SWEET CORN SOUP","GREEN SALAD,TOMATO SHORBA","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD,MASALA LACCHA ONION","GREEN SALAD,ALOO PEANUT CHAT (N)"
D,Dry Dish( Protein & Carbs),HOME STYLE MACRONI (V),SARSON KA SAAG (V),VEGETABLE LASAGNE (D),SOYA KEEMA MATAR,EXOTIC VEGETABLE IN TOMATO BASIL SAUCE (D),BUTTER CHICKEN(NV/D),MIX HOMESTYLE PASTA (V)
I,Gravy Dish( Protein & Carbs),MIX VEG (V),CABBAGE MATAR (V),MASALA JEERA ALOO (V),VEG JALFREZI (V),ALOO CAPSICUM (V),KADHAI PANEER (D),GAJAR MATAR (V)
N,Pulse/Noodles ( Protein),RED MALKA DAL,YELLOW MOONG DAL TADKA,DAL BHUKARA,DHABA DAL,CHANA DAL TADKA,DAL PANCHMEL,SOYA CHAAP MASALA(V)
N,Curd/Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,PEAS PULAO,JEERA RICE,VEG PULAO,PLAIN RICE,STEAMED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI
R,Accompaniments,"ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGGERY"
"",Dessert( Carbs& Sugar),VANILLA ICE CREAM (D),TRUFFLE PUDDING (D),SEWAI PAYSAM (D),FRUIT CUSTARD (D),,,GULAB JAMUN (D)
