"Dining Menu (10th April-16th April, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
L,Dry Dish (Protein & Carbs),CHICKEN DO PYAZA (NV/N/D),MASALA KHICHIDI,HOMESTYLE CHICKEN CURRY (NV/D),LAUKI VADI (V),JEERA ALOO (V),FUISSILI PASTA IN PINK SAUCE (D),PINDI CHOLEY
U,Gravy Dish(Protein & Carbs),MATAR PANEER (D),HING DHANIYE KE CHATPATE ALOO,PANEER LABABDAR (D),KALE CHANE,RAJMA,TINDA MASALA (V),KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),BLACK MASOOR DAL,CURD (D),ARHAR DAL TADKA,CURD (D),BOONDI RAITA (D),DAL MAKHANI (D),MIX RAITA (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,,PLAIN RICE,STEAME RICE,STEAM RICE,STEAMED RICE,PLAIN RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR,JAGERRY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,KALA JAMUN (D),,,,FRUIT CUSTARD (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),CHOCOLATE CUP CAKE (D),SWIZZ ROLL (D),FRUIT CAKE (D),HARA BHARA KEBAB,"PAO (D),BHAJI (D)",CHEESE TOAST (D),SPINACH CORN SANDWICH (D)
A,"Beverage( Carbs,Vitamins & Minerals)",BANANA SHAKE (D),COLD COFFEE (D),"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)",KHATTA MEETHA PANI,"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD ,ALOO PEANUT CHAT (N)","GREEN SALAD,HAWAIIAN SALAD (D)","GREEN SALAD,THREE BEAN SALAD","GREEN SALAD,MEDITERRANEAN SALAD","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD,MASALA LACCHA ONION","THAI CUCUMBER & CARROT SALAD,TANG"
D,Dry Dish( Protein & Carbs),HOME STYLE MACRONI (V),SOYA ALOO MATAR,VEGETABLE LASAGNE (D),PENNE PASTA IN RED SAUCE (D),VEGETABLE KOFTA CURRY (D),CHICKEN CHETTINAD (NV/D),"VEG DUMPLING IN SWEET AND SOUR SAUCE(V)"
I,Gravy Dish( Protein & Carbs),MIX VEG (V),ACHARI BAIGAN (V),ALOO PALAK (V),GAJAR BEANS MATAR (V),TAWA SUBZ (V),PANEER DO PYAZA (D),"CANTONESE STYLE VEG IN BLACK BEANSAUCE (V)"
N,Pulse/Noodles ( Protein),RED MALKA DAL,DAL PANCHMEL,DHABA DAL,DAL BHUKARA,CHANA DAL TADKA,YELLOW MOONG DAL TADKA,SINGAPORIAN GARLIC NOODLES
N,Curd/Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,PEAS PULAO,JEERA RICE,VEG PULAO,PLAIN RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,"ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY",
"",Dessert( Carbs& Sugar),VANILLA ICE CREAM (D),,BALUSAHI (D),GULAB GULKAND KI KHEER (D),SHAHI TUKDA (D),,CHOCOLATE ICE CREAM (D)
