"Dining Menu (5th September-, 11th September, 2022)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
N,Pulses( Protein& Fibre),YELLOW MOONG DAL TADKA (V),DAL MAKHANI (D),RAJASTHANI DAL (V),SINDHI KADHI (D),RAJMA MASALA (V),ARHAR DAL TADKA (V),MASALA CHACH (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,PLAIN RICE,PLAIN RICE,PLAIN RICE,JEERA RICE,PEAS PULAO
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI
"",Accompaniments,"ACHAR, PAPAD","ACHAR,PAPAD","ACHAR, PAPAD","ACHAR ,PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),,KESARI HALWA,,,GULAB JAMUN (D),SEWAI PAYASAM (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),SMILEY (V),MARBLE CAKE,NAMAK PARE,CUP CAKE (D),VEG SANDWICH (D),MASALA CORN,FRIES (V)
A,"Beverage( Carbs,Vitamins & Minerals)",COLD COFFEE (D),"TEA (D), COFFEE (D)",NIMBU PANI,TANG,"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)",LEMON WATER
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD, ALOO PEANUT CHAT(P)","GREEN SALAD , CORN KACHUMBER SALAD","GREEN SALAD, BEETROOT CARROT SALAD","GREEN SALAD,RUSSIAN SALAD","GREEN SALAD, MEDETERRANIAN SALAD","GREEN SALAD, SIRKA ONION",THAI PAPAYA SALAD (P)
D,Dry Dish( Protein & Carbs),BAKED VEGETABLES (D),MASALA KHICHIDI,HOMESTYLE MACRONI PASTA (V),FUSILLI PASTA IN RED SAUCE (D),PALAK CORN (V),CHICKEN CURRY (N&D&P),STIR FRIED VEGETABLES IN SESAME SAUCE (V)
I,Gravy Dish( Protein & Carbs),SOYA MATAR (V),HING DHANIYE KE CHATPATE ALOO,VEG KOFTA CURRY (P&D),GAJAR MATAR KI SUBZI (V),ALOO BAINGAN MASALA (V),PALAK PANEER (D),VEG MANCHURIAN (V)
N,Pulse/Noodles ( Protein),CHANA DAL TADKA (V),CURD (D),BLACK MASOOR DAL (V),RED MALKA DAL (V),DHABA DAL (V),GREEN MOONG DAL (V),GARLIC CHILLI  NOODLES
N,Rice( Carbs & Protein),VEGETABLE PULAO,TAWA ROTI,ONION RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,ACHAR,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,ACHAR,,ACHAR,ACHAR,ACHAR,ACHAR,
"",Dessert( Carbs& Sugar),CHOCOLATE ICE CREAM (D),,PHIRNI (D),VANILLA ICE CREAM (D),,,STRAWBERRY ICE CREAM (D)
