"Dining Menu (15th May-21th May, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
L,Dry Dish (Protein & Carbs),CHICKEN DO PYAZA (NV/N/D),ALOO MATAR (V),CHICKEN BIRYANI (NV/D),JEERA ALOO (V),HOMESTYLE MIX PASTA,FUISSILI PASTA IN PINK SAUCE (D),PINDI CHOLEY
U,Gravy Dish(Protein & Carbs),MATAR PANEER (D),KARELA DO PYAZA  (V),VEGTABLE PANEER BIRYANI (D),RAJMA (V),ALOO CAPSICUM (V),TINDA MASALA (V),CHARRA ALOO HARA PYAZ (V)
N,Pulses( Protein& Fibre),BLACK MASOOR DAL (V),HYDERABADI DAL (V),HYDERABADI DAL (V),BOONDI RAITA (D),KADHI PAKODA (D),DAL MAKHANI (D),MIX RAITA (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,MIX RAITA (D),STEAM RICE,STEAME RICE,STEAMED RICE,PLAIN RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,AJWANI POORI
"",Accompaniments,"ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),,,,,,KULFI (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),SAMOSA,STUFFED KULCHA (D),ALOO BONDA (D),HARA BHARA KEBAB,MASALA CORN,MUSHROOM TOAST (D),VEG BURGER (D)
A,"Beverage( Carbs,Vitamins & Minerals)",TANG,NIMBU PANI,BANANA SHAKE (D),COLD COFFEE (D),NIMBU PANI,"TEA (D), COFFEE (D)",COLD COFFEE (D)
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD ,HAWAIIAN SALAD (D)","GREEN SALAD,ALOO PEANUT CHAT (N)","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD,MEDITERRANEAN SALAD","GREEN SALAD,THREE BEAN SALAD","GREEN SALAD,SIRKA ONION","THAI CUCUMBER & CARROT SALAD,MANGOTANG"
D,Dry Dish( Protein & Carbs),HOME STYLE MACRONI (V),SOYA  CHAP MASALA (D),VEGETABLE LASAGNE (D),PENNE PASTA IN RED SAUCE (D),VEGETABLE KOFTA CURRY (D),CHICKEN CHETTINAD (NV/D),HONEY CHILLI POTATO (N)
I,Gravy Dish( Protein & Carbs),TORAI MASALA (V),TAWA SUBZ (V),BHINDI MASALA (V),ACHARI BAIGAN (V),MIX VEG (V),PANEER DO PYAZA (D),"CANTONESE STYLE VEG IN BLACK BEANSAUCE (V)"
N,Pulse/Noodles ( Protein),RED MALKA DAL (V),DAL PANCHMEL (V),DHABA DAL (V),DAL BHUKARA (V),GREEN MOONG DAL (V),YELLOW MOONG DAL TADKA (V),SINGAPORIAN GARLIC NOODLES
N,Curd/Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,PEAS PULAO,JEERA RICE,VEG PULAO,PLAIN RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,"ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD",
"",Dessert( Carbs& Sugar),PAN ICE CREAM (D),GULAB GULKAND KI KHEER (D),TIRAMISU (D),FRUIT CUSTARD (D),SHAHI TUKDA (D),,CHOCOLATE ICE CREAM (D)
"",,,,,,,,
"",,,,,,mix veg,,
