"Dining Menu (22nd May -28rd May, 2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
A,"Beverage( Carbs,Vitamins & Minerals)",BANANA SHAKE (D),COLD COFFEE (D),NIMBU PANI,"TEA (D), COFFEE (D)",BHAJI (D),"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD,HAWAIIAN SALAD (D)","GREEN SALAD,MEDITERRANEAN SALAD","GREEN SALAD,CHANA CHAT","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD ,ALOO PEANUT CHAT (N)","GREEN SALAD,SIRKA ONION","THAI CUCUMBER AND CARROT SALAD,MANGO TANG"
D,Dry Dish( Protein & Carbs),SOYA  MATAR (V),PENNE PASTA IN ARRABIATA SAUCE (D),MASALA BAIGAN (V),KURKURI BHINDI (V),MAC & CHEESE (D),CHICKEN CURRRY (NV/N/D),ROSEMARY POTATO
I,Gravy Dish( Protein & Carbs),KARELA DO  PYAZA  (V),KADHAI VEG (V),LAUKI KOFTA CURRY (V),ALOO MATAR (V),VEG JALPHREZI  (V),KADHAI PANEER (D),VEGETABLE THAI CURRY (V)
N,Pulse/Noodles ( Protein),YELLOW MOONG DAL TADKA (V),RED MALKA  DAL (V),DAL PANCHMEL(V),GREEN MOONG DAL,DAL BUKHARA,DHABA DAL (V),GARLIC CHILLI  NOODLES
N,Rice( Carbs & Protein),VEGETABLE PULAO,JEERA RICE,ONION RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,STEAM RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,
"",Dessert( Carbs& Sugar),VANILLA ICE CREAM (D),KALA JAMUN (D),SAHI TUKDA (D),MANGO MOUSSE (D),SEWAI PAYSAM (D),,STRAWBERRY ICE CREAM (D)
