"Dining Menu (29th May-04th June, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
L,Dry Dish (Protein & Carbs),RARA CHICKEN  (NV/D),SPAGHETTI ARRABIATA (D),CHICKEN CHETTINAD (NV/D),PENNE NAPOLITANA (D),FUISSILI PASTA IN POMODORO SAUCE (D),PENNE PASTA IN PINK SAUCE (D),CHOLEY
U,Gravy Dish(Protein & Carbs),HOME STYLE MATAR PANEER (D),ALOO BEANS  (V),PANEER MAKHANI (D),PALAK CORN (V),MIX VEG (V),SUBJ KOLHAPURI (V),KHATTA MEETHA PETHA  (V)
N,Pulses( Protein& Fibre),GREEN MOONG DAL (V),KADHI PAKODA (D),DAL PANCHMEL(V),RAJMA (V),DAL HYDERABADI (D),DAL MAKHANI (D),BOONDI RAITA (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,PLAIN RICE,STEAM RICE,STEAM RICE,STEAM RICE,PLAIN RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI
"",Accompaniments,"ACHAR, PAPAD","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),,FRUIT CUSTARD (D),,,,SHAHI TUKDA (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),VEG PUFF (D),GOL GAPPE,DAHI TIKKI (D),SWIZZ ROLL (D),ALOO CHAT,SMILEY,SPINACH & CORN SANDWICH (D)
A,"Beverage( Carbs,Vitamins & Minerals)",MANGO SHAKE (D),KHATTA MEETHA PANI,PUDINA PANI,"TEA (D), COFFEE (D)",NIMBU PANI,COLD COFFEE (D),"TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,4,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD , ALOO  CHANA CHAT","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD,THREE BEAN SALAD","GREEN SALAD,PASTA SALAD (D)","GREEN SALAD,ALOO PEANUT CHAT (N)","GREEN SALAD,SIRKA ONION","THAI CUCUMBER & CARROT SALAD,MANGO TANG"
D,Dry Dish( Protein & Carbs),HOME STYLE MACRONI (V),PENNE PASTA IN MIX SAUCE (D),MAC & CHEESE (D),KARELA MASALA (V),HOMESTYLE MACRONI (V),BUTTER CHICKEN(NV/D),HONEY CHILLI POTATO (N)
I,Gravy Dish( Protein & Carbs),KATHAL MASALA (V),BHINDI DO PYAZA(V),ALOO MATAR  (V),KASHMIRI DUM ALOO (D),MALAI KOFTA CURRY (D),KADHAI PANEER (D),VEG MANCHURIAN (V)
N,Pulse/Noodles ( Protein),RED MALKA  DAL (V),DHABA DAL (V),DAL BHUKARA (V),YELLOW MOONG DAL TADKA (V),CHANA DAL TADKA(V),DAL PANCHMEL(V),SINGAPORIAN GARLIC NOODLES
N,Curd/Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,STEAM RICE,JEERA RICE,VEG PULAO,PLAIN RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,
"",Dessert( Carbs& Sugar),ASSORTED ICE CREAM (D),,TRUFFLE PUDDING (D),CHOCOLATE MOUSSE (D),GULAB JAMUN (D),,CHOCOLATE ICE CREAM (D)
